"Вход","№","Тип имот","Стай","Бани","Етаж","Общо етажи","Земя Площ","Застроена площ","Цена / m2","Стара цена","Настояща цена","Валута","Обзавеждане"
"G21","G221"," Апартамент ","4","2","3","6","0","100","123","25000","20000","EUR","обзаведен"
"G22","G222"," Апартамент ","5","3","4","7","1","101","124","25001","20001","EUR","обзаведен"
"G23","G223"," Апартамент ","6","4","5","8","2","102","125","25002","20002","EUR","обзаведен"
"G24","G224"," Апартамент ","7","5","6","9","3","103","126","25003","20003","EUR","обзаведен"
"G25","G225"," Апартамент ","8","6","7","10","4","104","127","25004","20004","EUR","обзаведен"
"G26","G226"," Апартамент ","9","7","8","11","5","105","128","25005","20005","EUR","обзаведен"
"G27","G227"," Апартамент ","10","8","9","12","6","106","129","25006","20006","EUR","обзаведен"
"G28","G228"," Апартамент ","11","9","10","13","7","107","130","25007","20007","EUR","обзаведен"
"G29","G229"," Апартамент ","12","10","11","14","8","108","131","25008","20008","EUR","обзаведен"
"G30","G230"," Апартамент ","13","11","12","15","9","109","132","25009","20009","EUR","обзаведен"
"G31","G231"," Апартамент ","14","12","13","16","10","110","133","25010","20010","EUR","обзаведен"
"G32","G232"," Апартамент ","15","13","14","17","11","111","134","25011","20011","EUR","обзаведен"
"G33","G233"," Апартамент ","16","14","15","18","12","112","135","25012","20012","EUR","обзаведен"
"G34","G234"," Апартамент ","17","15","16","19","13","113","136","25013","20013","EUR","обзаведен"
"G35","G235"," Апартамент ","18","16","17","20","14","114","137","25014","20014","EUR","обзаведен"
"G36","G236"," Апартамент ","19","17","18","21","15","115","138","25015","20015","EUR","обзаведен"
"G37","G237"," Апартамент ","20","18","19","22","16","116","139","25016","20016","EUR","обзаведен"
