"Тип имот","Стай","Бани","Етажност","Етаж","Общо етажи","Вход","Номер","Земя","Мазе","Таван","Гараж","Жилищна  Площ","Общи       части","Застроена площ","Цена м2","Цена ","Валута","Обзавеждане"
"Апартамент","2","1","","5","6","G","G29","0","0","0","0","64.88","13.26","78.14","600","46884","Евро","обзаведен"
"Апартамент","2","1","","5","6","G","G30","0","0","0","0","64.88","13.26","78.14","600.0127975428718","46885","Евро","обзаведен"
"Апартамент","2","1","","5","6","G","G31","0","0","0","0","64.88","13.26","78.14","600.0255950857436","46886","Евро","обзаведен"
"Апартамент","2","1","","5","6","G","G32","0","0","0","0","64.88","13.26","78.14","600.0383926286153","46887","Евро","обзаведен"
"Апартамент","2","1","","5","6","G","G33","0","0","0","0","64.88","13.26","78.14","600.0511901714871","46888","Евро","обзаведен"
"Апартамент","2","1","","5","6","G","G34","0","0","0","0","64.88","13.26","78.14","600.0639877143589","46889","Евро","обзаведен"
"Апартамент","2","1","","5","6","G","G35","0","0","0","0","64.88","13.26","78.14","600.0767852572307","46890","Евро","обзаведен"
"Апартамент","2","1","","5","6","G","G36","0","0","0","0","64.88","13.26","78.14","600.0895828001023","46891","Евро","обзаведен"
"Апартамент","2","1","","5","6","G","G37","0","0","0","0","64.88","13.26","78.14","600.1023803429741","46892","Евро","обзаведен"
"Апартамент","2","1","","5","6","G","G38","0","0","0","0","64.88","13.26","78.14","600.1151778858459","46893","Евро","обзаведен"
"Апартамент","2","1","","5","6","G","G39","0","0","0","0","64.88","13.26","78.14","600.1279754287177","46894","Евро","обзаведен"
"Апартамент","2","1","","5","6","G","G40","0","0","0","0","64.88","13.26","78.14","600.1407729715894","46895","Евро","обзаведен"
"Апартамент","2","1","","5","6","G","G41","0","0","0","0","64.88","13.26","78.14","600.1535705144612","46896","Евро","обзаведен"
"Апартамент","2","1","","5","6","G","G42","0","0","0","0","64.88","13.26","78.14","600.166368057333","46897","Евро","обзаведен"
"Апартамент","2","1","","5","6","G","G43","0","0","0","0","64.88","13.26","78.14","600.1791656002048","46898","Евро","обзаведен"
"Апартамент","2","1","","5","6","G","G44","0","0","0","0","64.88","13.26","78.14","600.1919631430766","46899","Евро","обзаведен"
"Апартамент","2","1","","5","6","G","G45","0","0","0","0","64.88","13.26","78.14","600.2047606859483","46900","Евро","обзаведен"
"Апартамент","2","1","","5","6","G","G46","0","0","0","0","64.88","13.26","78.14","600.2175582288201","46901","Евро","обзаведен"
